Number,Date,Month,Site,SiteMonth,Treatment,Flower,Flower_status,Method,Sex,Genus,Species,GenusSpecies,Family 
604,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
605,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
606,7/23/2020,July,C28,July-C28,Control,,,Pan trap,F,Colletes,sp. B,Colletes sp. B,Colletidae
607,7/23/2020,July,C28,July-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
609,7/23/2020,July,C28,July-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
610,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
611,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
612,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
613,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
614,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,F,Ceratina,nanula,Ceratina nanula,Apidae
615,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
616,7/22/2020,July,T14,July-T14,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
617,7/22/2020,July,T13,July-T13,Thinned,,,Pan trap,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
618,7/22/2020,July,T13,July-T13,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
619,7/22/2020,July,T13,July-T13,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
620,7/23/2020,July,C30,July-C30,Control,,,Pan trap,F,Dufourea,maura,Dufourea maura,Halictidae
621,7/22/2020,July,T9,July-T9,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
622,7/22/2020,July,T9,July-T9,Thinned,,,Pan trap,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
623,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
624,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
625,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Anthophora,porterae,Anthophora porterae,Apidae
626,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
627,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
628,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
629,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Anthophora,montana,Anthophora montana,Apidae
630,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
631,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
632,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
633,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
634,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
635,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
636,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
637,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Anthophora,montana,Anthophora montana,Apidae
638,8/13/2020,August,C28,August-C28,Control,,,Blue vane,F,Andrena,sp. D,Andrena sp. D,Andrenidae
639,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
640,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,M,Heriades,carinatus,Heriades carinatus,Megachilidae
641,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
642,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
643,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
644,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
645,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
646,8/13/2020,August,C28,August-C28,Control,,,Blue vane,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
647,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Hylaeus,mesillae,Hylaeus mesillae,Colletidae
648,6/18/2020,June,C30,June-C30,Control,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
649,6/18/2020,June,C30,June-C30,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
650,6/18/2020,June,C29,June-C29,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
651,6/18/2020,June,C29,June-C29,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
652,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
653,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
654,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
655,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
656,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
657,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
658,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
659,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
660,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
661,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
662,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Halictus,confusus,Halictus confusus,Halictidae
663,6/9/2020,June,T10,June-T10,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
664,6/17/2020,June,T10,June-T10,Thinned,,,Pan trap,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
665,6/5/2020,June,C21,June-C21,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
666,6/5/2020,June,C21,June-C21,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
667,6/5/2020,June,C21,June-C21,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
668,6/9/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
669,6/9/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
670,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
671,6/9/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
672,6/8/2020,June,T14,June-T14,Thinned,Not recorded,,Net,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
673,6/8/2020,June,T14,June-T14,Thinned,Not recorded,,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
674,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Ceratina,nanula,Ceratina nanula,Apidae
675,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
676,8/13/2020,August,C28,August-C28,Control,,,Blue vane,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
677,8/13/2020,August,C28,August-C28,Control,,,Blue vane,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
679,8/13/2020,August,C28,August-C28,Control,,,Blue vane,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
680,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
681,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
682,6/5/2020,June,T7,June-T7,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
683,7/20/2020,July,T12,July-T12,Thinned,Achillea millefolium,Native,Net,F,Halictus,confusus,Halictus confusus,Halictidae
684,7/20/2020,July,T12,July-T12,Thinned,Achillea millefolium,Native,Net,F,Halictus,confusus,Halictus confusus,Halictidae
685,7/22/2020,July,T12,July-T12,Thinned,Geranium caespitosum,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
686,6/4/2020,June,C19,June-C19,Control,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
687,7/14/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
688,8/4/2020,August,T5,August-T5,Thinned,Geranium caespitosum,Native,Net,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
689,8/4/2020,August,T5,August-T5,Thinned,Geranium caespitosum,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
690,8/4/2020,August,T7,August-T7,Thinned,Chamaenerion angustifolium,Native,Net,F,Megachile,relativa,Megachile relativa,Megachilidae
691,8/4/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
692,8/4/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,M,Andrena,sp. F,Andrena sp. F,Andrenidae
694,8/4/2020,August,T6,August-T6,Thinned,Carduus nutans,Introduced,Net,F,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
695,8/4/2020,August,C21,August-C21,Control,Geranium caespitosum,Native,Net,M,Augochlorella,aurata,Augochlorella aurata,Halictidae
696,8/4/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
697,8/13/2020,August,C28,August-C28,Control,,,Blue vane,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
698,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,F,Atoposmia,copelandica,Atoposmia copelandica,Megachilidae
699,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,M,Atoposmia,copelandica,Atoposmia copelandica,Megachilidae
700,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
701,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
702,8/5/2020,August,C19,August-C19,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
703,8/5/2020,August,C19,August-C19,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
705,8/6/2020,August,C21,August-C21,Control,,,Pan trap,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
706,8/6/2020,August,C21,August-C21,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
707,8/6/2020,August,C21,August-C21,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
708,6/18/2020,June,C26,June-C26,Control,,,Blue vane,M,Anthophora,terminalis,Anthophora terminalis,Apidae
709,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Dianthidium,heterulkei fraternum,Dianthidium heterulkei fraternum,Megachilidae
710,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
711,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
712,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Heriades,carinatus,Heriades carinatus,Megachilidae
713,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Heriades,carinatus,Heriades carinatus,Megachilidae
714,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
715,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
716,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
717,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
718,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
719,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
720,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,,Unknown,,Unknown,
721,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
722,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Stelis,permaculata ,Stelis permaculata ,Megachilidae
723,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
724,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
725,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
726,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
727,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
728,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
729,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
730,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
731,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
732,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,annulatus,Hylaeus annulatus,Colletidae
733,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
734,8/5/2020,August,T1,August-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
735,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
736,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
737,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
738,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Heriades,carinatus,Heriades carinatus,Megachilidae
739,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Stelis,permaculata ,Stelis permaculata ,Megachilidae
740,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
741,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
742,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
743,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
744,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
745,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
746,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
747,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
748,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
749,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
750,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
751,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
752,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
753,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
754,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
755,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Heriades,carinatus,Heriades carinatus,Megachilidae
756,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
757,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
758,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Heriades,cressonii,Heriades cressonii,Megachilidae
759,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
760,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
761,8/6/2020,August,T6,August-T6,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
762,8/5/2020,August,T4,August-T4,Thinned,Cirsium arvense,Introduced,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
763,8/6/2020,August,T5,August-T5,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
764,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,,Heriades,carinatus,Heriades carinatus,Megachilidae
765,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
766,6/18/2020,June,C26,June-C26,Control,,,Blue vane,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
767,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
768,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
769,8/6/2020,August,C22,August-C22,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
770,8/6/2020,August,C22,August-C22,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
771,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Bombus,bifarius,Bombus bifarius,Apidae
772,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
773,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
774,8/5/2020,August,T2,August-T2,Thinned,,,Pan trap,M,Dufourea,maura,Dufourea maura,Halictidae
775,8/6/2020,August,C22,August-C22,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
776,6/18/2020,June,C26,June-C26,Control,,,Blue vane,F,Osmia,brevis,Osmia brevis,Megachilidae
777,8/6/2020,August,T5,August-T5,Thinned,,,Pan trap,F,Epeolus,interruptus,Epeolus interruptus,Apidae
778,8/6/2020,August,T5,August-T5,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
779,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
780,8/5/2020,August,T3,August-T3,Thinned,,,Pan trap,M,Dufourea,maura,Dufourea maura,Halictidae
781,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Andrena,sp. F,Andrena sp. F,Andrenidae
782,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
783,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
784,8/6/2020,August,C22,August-C22,Control,,,Blue vane,F,Anthophora,montana,Anthophora montana,Apidae
785,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
786,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Heriades,carinatus,Heriades carinatus,Megachilidae
787,8/6/2020,August,C20,August-C20,Control,,,Blue vane,F,Anthophora,montana,Anthophora montana,Apidae
788,8/6/2020,August,C20,August-C20,Control,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
789,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
790,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
791,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
792,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
793,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
794,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
795,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,,Heriades,carinatus,Heriades carinatus,Megachilidae
796,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Heriades,carinatus,Heriades carinatus,Megachilidae
797,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
798,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
799,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Andrena,sp. E,Andrena sp. E,Andrenidae
800,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
801,8/6/2020,August,T7,August-T7,Thinned,Solidago multiradiata,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
802,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
803,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,M,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
804,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
805,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
807,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Colletes,sp. B,Colletes sp. B,Colletidae
808,8/6/2020,August,T7,August-T7,Thinned,Solidago missouriensis,Native,Net,F,Heriades,carinatus,Heriades carinatus,Megachilidae
809,8/6/2020,August,T7,August-T7,Thinned,Solidago multiradiata,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
810,8/6/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Colletes,sp. B,Colletes sp. B,Colletidae
